bootstrap,dimension,model_id,theta
11,C1,gemini_3_1_pro_high,0.02712035464699206
11,C1,deepseek_v4_pro_max,0.01713972188840114
11,C1,deepseek_v4_flash_max,-0.020143298140423316
11,C1,qwen3_8_max,-0.009895359535260552
11,C1,glm_5_2_max,0.010131706307782401
11,C2,kimi_k3_max,0.004806914614897039
11,C2,gpt_5_6_sol_max,-0.04921312362345456
11,C2,gpt_5_5_xhigh,0.006606004022998145
11,C2,claude_fable_5_max,0.02448617984167972
11,C2,claude_opus_4_8_max,0.0018382388325296549
11,C2,gemini_3_1_pro_high,-0.011087517954536922
11,C2,deepseek_v4_pro_max,0.009462705132544094
11,C2,deepseek_v4_flash_max,0.002443893016530844
11,C2,qwen3_8_max,-0.01800222714675003
11,C2,glm_5_2_max,0.028658933263562024
11,C3,kimi_k3_max,0.02992692235706698
11,C3,gpt_5_6_sol_max,0.010948300913768656
11,C3,gpt_5_5_xhigh,-0.03165031294449237
11,C3,claude_fable_5_max,-0.0013512249336701959
11,C3,claude_opus_4_8_max,-0.006870445175477087
11,C3,gemini_3_1_pro_high,-0.038972098192276886
11,C3,deepseek_v4_pro_max,0.16478209662630025
11,C3,deepseek_v4_flash_max,-0.1082649550294129
11,C3,qwen3_8_max,-0.017626998776605732
11,C3,glm_5_2_max,-0.000921284845200724
11,C4,kimi_k3_max,0.021974137260179938
11,C4,gpt_5_6_sol_max,-0.00857032908255209
11,C4,gpt_5_5_xhigh,0.03482475920366222
11,C4,claude_fable_5_max,0.003145798972252787
11,C4,claude_opus_4_8_max,0.015147535982379605
11,C4,gemini_3_1_pro_high,-0.0006914619693212488
11,C4,deepseek_v4_pro_max,0.10408413744956575
11,C4,deepseek_v4_flash_max,-0.11126981131280152
11,C4,qwen3_8_max,-0.0011654522194347243
11,C4,glm_5_2_max,-0.057479314283930744
11,C5,kimi_k3_max,0.022357138565284353
11,C5,gpt_5_6_sol_max,0.038810951615144605
